l_russian:
 useless_adjective_1:0 "бесполезный"
 useless_adjective_2:0 "трусливый"
 useless_adjective_3:0 "бессмысленный"
 useless_adjective_4:0 "неумелый"
 useless_adjective_5:0 "бездарный"
 useless_adjective_6:0 "некомпетентный"
 court_type_monarchy:0 "двор"
 court_type_republic:0 "сенат"
 court_type_tribal:0 "совет"
 get_god_gods_1:0 "бог"
 get_god_gods_2:0 "вера"
 get_god_gods_3:0 "боги"
 religious_trial_support_text:0 "\nРелигиозная фракция: #Y [SCOPE.ScriptValue('religious_support')]%#! голосов."
 mercantile_trial_support_text:0 "\nТорговая фракция: #Y [SCOPE.ScriptValue('mercantile_support')]%#! голосов."
 civic_trial_support_text:0 "\nГражданская фракция: #Y [SCOPE.ScriptValue('civic_support')]%#! голосов."
 military_trial_support_text:0 "\nВоенная фракция: #Y [SCOPE.ScriptValue('military_support')]%#! голосов."
 populist_trial_support_text:0 "\nПопулистская фракция: #Y [SCOPE.ScriptValue('populist_support')]%#! голосов."
 ruler_religious_faction:0 "Религиозная фракция"
 ruler_mercantile_faction:0 "Торговая фракция"
 ruler_civic_faction:0 "Гражданская фракция"
 ruler_military_faction:0 "Военная фракция"
 ruler_populist_faction:0 "Популистская фракция"
 got_handsome:0 "красивый"
 got_beautiful:0 "прекрасная"
 got_bachelor:0 "холостяк"
 got_bacheloress:0 "незамужняя девица"
 random_object_1:0 "раб"
 random_object_2:0 "охотничья собака"
 random_object_3:0 "известный член правительства"
 random_object_4:0 "магистрат"
 random_object_5:0 "иностранный дипломат"
 random_object_6:0 "дочь мельника"
 random_object_7:0 "известный преступник"
 random_object_8:0 "высокопоставленный жрец"
 random_object_9:0 "обычный солдат"
 random_object_10:0 "моряк с татуировками"
 second_random_object_1:0 "овощная лавка"
 second_random_object_2:0 "просторная тога"
 second_random_object_3:0 "злонамеренное письмо"
 second_random_object_4:0 "накладная борода"
 second_random_object_5:0 "украденный хлеб"
 second_random_object_6:0 "украденная труба"
 second_random_object_7:0 "экзотическая тыква"
 second_random_object_8:0 "фальшивый самоцвет"
 second_random_object_9:0 "кое-как нарисованный портрет"
 second_random_object_10:0 "вредоносный слух"
 got_religious_party:0 "Религиозная фракция"
 got_mercantile_party:0 "Торговая фракция"
 got_civic_party:0 "Гражданская фракция"
 got_military_party:0 "Военная фракция"
 got_populist_party:0 "Популистская фракция"
 got_child:0 "молодой негодяй"
 got_youth:0 "прыщавый юноша"
 got_average_age:0 "здоровый парень"
 got_older_person:0 "зрелый человек"
 got_ancient_person:0 "пожилой гражданин"
 got_methuselah:0 "почтенный старец"
 got_centenarian:0 "невероятно древний представитель человечества"
 got_death_1:0 "гибель от рук бредящего сумасшедшего"
 got_death_2:0 "повешение разбойниками"
 got_death_3:0 "смерть от удара тараном"
 got_death_4:0 "ритуальное принесение в жертву"
 got_death_5:0 "убийство при таинственных обстоятельствах"
 got_death_6:0 "утопление в колодце"
 got_death_7:0 "распятие фанатиками"
 got_death_8:0 "сожжение на костре"
 got_death_9:0 "принесение в жертву тёмным богам"
 got_death_10:0 "поражение божественной молнией"
 debate_topic_1:0 "стандарты военной подготовки"
 debate_topic_2:0 "экономическая политика"
 debate_topic_3:0 "внешняя политика"
 debate_topic_4:0 "обязательное обучение детей"
 debate_topic_5:0 "плохое обращение с рабами"
 debate_topic_6:0 "религиозные праздники"
 debate_topic_7:0 "неприличное поведение на публике"
 debate_topic_8:0 "усиленное развитие кораблестроения"
 debate_topic_9:0 "недавние пиратские налёты"
 debate_topic_10:0 "санитарные условия жизни бедняков"
 rival_adjective_1:0 "скользкий"
 rival_adjective_2:0 "отвратительный"
 rival_adjective_3:0 "неприятный"
 rival_adjective_4:0 "отталкивающий"
 rival_adjective_5:0 "коварный"
 rival_adjective_6:0 "лукавый"
 rival_adjective_7:0 "хитрый"
 rival_adjective_8:0 "вонючий"
 rival_adjective_9:0 "трусливый"
 rival_adjective_10:0 "подлый"
 basic_rival_attack_type_1:0 "задаёт много вопросов о персонаже [ROOT.GetCharacter.GetPraenomen] каким-то подозрительным типам."
 basic_rival_attack_type_2:0 "в крупной ссоре со слугой персонажа [ROOT.GetCharacter.GetPraenomen]."
 basic_rival_attack_type_3:0 "распространяет изменнические слухи о персонаже [ROOT.GetCharacter.GetPraenomen]."
 basic_rival_attack_type_4:0 "отправляет подозрительных бандитов преследовать персонажа [ROOT.GetCharacter.GetPraenomen]."
 basic_rival_attack_type_5:0 "рыщет возле поместья персонажа [ROOT.GetCharacter.GetPraenomen], предположительно в поисках слабых мест."
 prisoner_of_war_oly:0 "пленник жаждет отмщения"
 towering_adonis:0 "высокий Адонис"
 son_of_apollo:0 "сын самого Аполлона"
 sprightly_youth:0 "быстроногий бегун"
 young_man_desc:0 "розовощёкий юноша"
 brawn_olympic_desc:0 "мускулистый зверь"
 wily_odysseus:0 "красавчик, подобный хитроумному Одиссею,"
 stout_gentleman:0 "бравый малый"
 old_guy_desc:0 "необычайно старый мужчина"
 decrepit_fool_desc:0 "дряхлый дурак"
 pankration_event:0 "панкратион, соревнование опытных борцов. Во время боя [SCOPE.sChar('highlight_competitor_1').GetPraenomen] из державы [SCOPE.sC('highlight_1_origin_country').GetName] нанёс тяжёлый удар участнику [SCOPE.sChar('highlight_competitor_2').GetPraenomen] из державы [SCOPE.sC('highlight_2_origin_country').GetName], после чего тот почти весь день находился без сознания."
 diaulos_event:0 "диалос, продолжительный бег на два стадия. [SCOPE.sChar('highlight_competitor_1').GetPraenomen] из державы [SCOPE.sC('highlight_1_origin_country').GetName] пронёсся через финишную линию, влетев в толпу зрителей под приветственные возгласы."
 pygmachia_event:0 "пигмахия, полный опасностей кулачный бой. [SCOPE.sChar('highlight_competitor_1').GetPraenomen] из державы [SCOPE.sC('highlight_1_origin_country').GetName] был дисквалифицирован после попытки выдавить глаза своему сопернику, коим был [SCOPE.sChar('highlight_competitor_2').GetPraenomen] из державы [SCOPE.sC('highlight_2_origin_country').GetName]."
 hoplitodromos_event:0 "гоплитодром, финальная гонка олимпиады, в которой участники пробегают целый стадий в полном боевом облачении. [SCOPE.sChar('highlight_competitor_1').GetPraenomen] из державы [SCOPE.sC('highlight_1_origin_country').GetName] пересёк финишную линию через целый час после начала гонки, так как остановился пофлиртовать с толпой хихикающих девушек."
 synoris_event:0 "синорис, престижная гонка на колесницах. [SCOPE.sChar('highlight_competitor_1').GetPraenomen] из державы [SCOPE.sC('highlight_1_origin_country').GetName] спас противника от верной смерти, когда у того в пыльном хаосе гонки перевернулась колесница."
 stadion_event:0 "стадий, самое древнее и почитаемое соревнование по бегу. [SCOPE.sChar('highlight_competitor_1').GetPraenomen] из державы [SCOPE.sC('highlight_1_origin_country').GetName] был на последнем месте большую часть гонки, но опередил соперника на несколько мгновений, после того как [SCOPE.sChar('highlight_competitor_2').GetPraenomen] из страны [SCOPE.sC('highlight_2_origin_country').GetName] споткнулся и упал, заставив свалиться всех участников позади него."
 olympic_wins_1:0 "однократный победитель Олимпийских игр"
 olympic_wins_2:0 "дважды победитель игр"
 olympic_wins_3:0 "трижды победитель Олимпийских игр"
 olympic_wins_4:0 "победитель четырёх различных состязаний"
