l_russian:
 become_despotic_monarchy_tribal:0 "Принять автократию"
 become_despotic_monarchy_tribal_desc:0 "Вдохновившись примером иноземных царей и тиранов, [COUNTRY.GetRuler.GetName] может забрать в свои руки больше власти, отбросив племенные обычаев наших предков."
 become_democracy_tribal:0 "Принять демократию"
 become_democracy_tribal_desc:0 "Вожди, старейшины и магистраты державы [COUNTRY.GetName] считают, что мы добьёмся большего процветания, приняв конституционную форму демократии."
 become_despotic_monarchy_plutocrat:0 "Принять автократию!"
 become_despotic_monarchy_plutocrat_desc:0 "[COUNTRY.GetName] нуждается в сильной руке, способной вывести страну к свету в эти тёмные времена. [COUNTRY.GetRuler.GetName] — вполне достойный кандидат на титул ЦАРЯ/ЦАРИЦЫ."
 become_democracy_plutocrat:0 "Переход к демократической республике"
 become_democracy_plutocrat_desc:0 "Настоящая демократия — вот достойная восхищения цель для державы [COUNTRY.GetName]."
 proclaim_theocratic_republic:0 "Провозгласить теократическую республику"
 proclaim_theocratic_republic_desc:0 "С помощью богов и благодаря набожности народа [COUNTRY.GetName] достигнет вечного процветания!"
 become_tribal_chiefdom:0 "Оставить оседлый образ жизни"
 become_tribal_chiefdom_desc:0 "Времена меняются и эта земля уже не может прокормить наше великое племя. Пора вновь вспомнить о традициях наших предков и подготовиться к переселению в более мирные и плодородные земли."
 become_tribal_kingdom:0 "Образовать племенное царство"
 become_tribal_kingdom_desc:0 "Эти земли станут нам хорошим домом. Пора перейти на более оседлый образ жизни. Давайте провозгласим себя царством и отделимся тем самым от кочевых племен, к которым принадлежали ранее."
 cannot_stop_migrating_tooltip:0 "Племя не должно находиться в процессе переселения."
 become_aristocratic_monarchy:0 "Принять аристократическое правление"
 become_aristocratic_monarchy_desc:0 "Людям благородной крови не следует путаться с простолюдинами..."
 become_elective_monarchy:0 "Учредить выборную монархию"
 become_elective_monarchy_desc:0 "Благодаря выборной монархии власть всегда будет находиться в руках достойных. В идеале."
 become_theocratic_monarchy:0 "Провозгласить теократическую монархию"
 become_theocratic_monarchy_desc:0 "[COUNTRY.GetRuler.GetName] будет освещаться лучами божественной славы."
 become_stratocratic_monarchy:0 "Принять стратократическую монархию"
 become_stratocratic_monarchy_desc:0 "[COUNTRY.GetAdjective]ий народ хочет показать свою мощь всему миру. Превратив наше общество в милитаризированную иерархию, мы прославим державу [COUNTRY.GetName]!"
 proclaim_oligarchic_republic:0 "Поддержать олигархию"
 proclaim_oligarchic_republic_desc:0 "Узаконив превосходство имущих над неимущими, [COUNTRY.GetName] обеспечит себе процветающее правительство."
 proclaim_aristocratic_republic:0 "Узаконить аристократию"
 proclaim_aristocratic_republic_desc:0 "Способность к правлению однозначно передаётся по наследству. Хотя демократия и неплоха для нас, не следует давать плебеям вмешиваться в дела правительства."
 proclaim_dictatorship:0 "Провозгласить диктатуру"
 proclaim_dictatorship_desc:0 "Становится очевидно, что власть нельзя доверять многим. Абсолютная безопасность требует абсолютной власти."
 create_empire:0 "Имперские амбиции"
 create_empire_desc:0 "Держава [COUNTRY.GetRuler.GetName], сияющая в лучах великих побед, затмила все остальные мелкие царства. Необходимо учредить новый титул для правителя империи."
 deify_emperor:0 "Божественное благословение"
 deify_emperor_desc:0 "Немногие отрицают, что держава [COUNTRY.GetRuler.GetName] поистине благословенна. Сами небеса благоволят ей."
 found_the_museion:0 "Храм муз"
 found_the_museion_desc:0 "Город Александрия, естественным образом ставший центром посталександровского мира, уже привлекает лучшие эллинские умы. Нам следует принять роль этого города как центра греческой культуры и философии и возвести храм в честь муз. В таком храме можно будет собрать все написанные когда-либо греческие тексты и перевести на греческий остальные.\nМногие правители замышляли создать колоссальную личную библиотеку, достойную всеобщего восхищения и зависти, но мало кто отваживался на проект такого масштаба. Если мы преуспеем, память о нас будет жить сотни, а то и тысячи лет."
 construction_of_the_pharos:0 "Фаросский маяк"
 construction_of_the_pharos_desc:0 "Морские путешествия зачастую бывают опасны из-за пиратов, мародеров и штормов Средиземного моря. Тем не менее именно по воде можно быстрее всего добраться до большого города — например, до Александрии на Ниле, — и потому мы должны гарантировать безопасность всех кораблей и моряков.\nНебольшой остров Фарос, что расположен чуть поодаль от нашего порта, отлично подходит для строительства большого маяка, который указывал бы путь кораблям. Кроме того, мы положим конец бандам мародеров, которые часто промышляют на этом острове."
 construction_of_the_colossus:0 "Колосс Родосский"
 construction_of_the_colossus_desc:0 "Многие говорят, что лишь помощь самого Гелиоса не дала Деметрию I занять наш остров и город. Мы отважно сражались, чтобы оттеснить Антигонидов, и с помощью Птолемея смогли сохранить свою независимость.\n\nНастало время поблагодарить бога за помощь в защите острова и отпраздновать победу. Наши архитекторы подготовили чертежи огромной статуи бога, которая всегда будет защищать порты Родоса."
 fix_volcanic_area_vesuvius:0 "Восстановление Везувия"
 fix_volcanic_area_vesuvius_desc:0 "Извержение Везувия нанесло ущерб многим землям в окрестностях вулкана. Пора выделить средства на их восстановление, чтобы затем вернуться к их обработке."
 fix_volcanic_area_aetna:0 "Восстановление Этны"
 fix_volcanic_area_aetna_desc:0 "Извержение Этны нанесло ущерб многим землям в окрестностях вулкана. Пора выделить средства на их восстановление, чтобы затем вернуться к их обработке."
 fix_volcanic_area_ararat:0 "Восстановление Арарата"
 fix_volcanic_area_ararat_desc:0 "Извержение Арарата нанесло ущерб многим землям в окрестностях вулкана. Пора выделить средства на их восстановление, чтобы затем вернуться к их обработке."
 fix_volcanic_area_methana:0 "Восстановление Метаны"
 fix_volcanic_area_methana_desc:0 "Извержение Метаны нанесло ущерб многим землям в окрестностях вулкана. Пора выделить средства на их восстановление, чтобы затем вернуться к их обработке."
 fix_volcanic_area_aragats:0 "Восстановление Арагаца"
 fix_volcanic_area_aragats_desc:0 "Извержение Арагаца нанесло ущерб многим землям в окрестностях вулкана. Пора выделить средства на их восстановление, чтобы затем вернуться к их обработке."
 fix_volcanic_area_argaeus_mons:0 "Восстановление после извержения Аргея"
 fix_volcanic_area_argaeus_mons_desc:0 "Извержение Аргея нанесло ущерб многим землям в окрестностях вулкана. Пора выделить средства на их восстановление, чтобы затем вернуться к их обработке."
 fix_volcanic_area_argaios_mons:0 "Восстановление после извержения Аргэя"
 fix_volcanic_area_argaios_mons_desc:0 "Извержение Аргэя нанесло ущерб многим землям в окрестностях вулкана. Пора выделить средства на их восстановление, чтобы затем вернуться к их обработке."
 fix_volcanic_area_ausara:0 "Восстановление после извержения Аусары"
 fix_volcanic_area_ausara_desc:0 "Извержение Аусары нанесло ущерб многим землям в окрестностях вулкана. Пора выделить средства на их восстановление, чтобы затем вернуться к их обработке."
 fix_volcanic_area_bamni:0 "Восстановление после извержения Бамни"
 fix_volcanic_area_bamni_desc:0 "Извержение Бамни нанесло ущерб многим землям в окрестностях вулкана. Пора выделить средства на их восстановление, чтобы затем вернуться к их обработке."
 fix_volcanic_area_qarqar:0 "Восстановление после извержения Каркара"
 fix_volcanic_area_qarqar_desc:0 "Извержение Каркара нанесло ущерб многим землям в окрестностях вулкана. Пора выделить средства на их восстановление, чтобы затем вернуться к их обработке."
 fix_volcanic_area_caucasus_mons:0 "Восстановление после извержения на Кавказе"
 fix_volcanic_area_caucasus_mons_desc:0 "Извержение в Кавказских горах нанесло ущерб многим землям вблизи вулкана. Пора выделить средства на их восстановление, чтобы затем вернуться к их обработке."
 fix_volcanic_area_iberia_mons:0 "Восстановление после извержения в Иберии"
 fix_volcanic_area_iberia_mons_desc:0 "Извержение в Иберийских горах нанесло ущерб многим землям вблизи вулкана. Пора выделить средства на их восстановление, чтобы затем вернуться к их обработке."
 negotiate_with_slaves:0 "Переговоры с бунтующими рабами"
 negotiate_with_slaves_desc:0 "Мы должны быстро и любой ценой положить конец волнениям среди рабов. Если мы позволим им мирно обустроиться, пообещаем, что им ничего не грозит, и поможем им начать новую жизнь, возможно, мы убедим их сложить оружие."
 allow_slaves_to_settle:0 "Все территории, контролируемые повстанцами, перейдут под наш контроль.\nВсе взбунтовавшиеся рабы осядут в столичном регионе как свободные люди."
 ACHAEMENID_FLAG:0 "Знамя Кира Великого"
 found_carthago_nova:0 "Новый Карфаген!"
 found_carthago_nova_desc:0 "Испания — земля великих богатств. Чтобы утвердить там своё присутствие, нам следует найти на её южном побережье новый большой порт и сделать его второй столицей — по ту сторону моря. Этот новый город, Кадр Хашт, станет для Испании тем, чем была наша собственная столица для финикийских поселенцев, осевших на африканском побережье: центром притяжения остальных прибрежных колоний и главным пуническим городом."
 carthage_claims_hispania:0 "Карфаген будет претендовать на испанское побережье."
 carthago_nova_modifier:0 "Карфагенская метрополия"
 desc_carthago_nova_modifier:0 "Это Кадр Хашт, новый Карфаген, расположенный вдали от политических распрей Африки, на побережье богатого полуострова Испания."
 restructure_military_port_of_carthage:0 "Перестроить военную гавань Карфагена"
 restructure_military_port_of_carthage_desc:0 "Карфагенская гавань всегда была одной из самых больших в пуническом мире, но, поскольку наша империя разрослась, как и сам город, нам следует перестроить гавань. Мы должны расширить возможности столицы как морской базы и центра кораблестроения, чего бы нам это ни стоило."
 carthage_mercenary_overlord:0 "Покровитель наёмников"
