l_russian:
 dhe_dde_pyrrhus.1.t:0 "Молосський ультиматум"
 dhe_dde_pyrrhus.1.desc_1:0 "В Епірі влада залежить від підтримки молоссів, сильного епірського племені.\n\nБатько Пірра цар Еакід підтримав дітей Александра Македонського у війні з Кассандром, але був позбавлений влади молоссами, обуреними військовими діями. Вони замінили Еакіда його двоюрідним братом Неоптолемом II, а юного Пірра ради збереження його життя відправили до двору тавлантійського царя Главкія.\n\nПізніше Еакід знову ненадовго зайняв трон, але в 441 р. помер у битві з Македонією. Влада перейшла до його брата Алкета II, який незабаром був вбитий молоссами за свою жорстокість, після чого в 447 р. Главкій скористався можливістю посадити на трон Пірра.\n\nМолосси й зараз підтримують скоріше Неоптолема II, ніж Пірра, нав'язаного їм чужоземним правителем..."
 dhe_dde_pyrrhus.1.desc_2:0 "В Епірі влада залежить від підтримки молоссів, сильного епірського племені.\n\nБатько Пірра цар Еакід підтримав дітей Александра Македонського, але був позбавлений влади молоссами, обуреними військовими діями. Вони замінили Еакида його кузеном Неоптолемом II, а юного Пірра ради збереження його життя відправили до двору тавлантійського царя Главкія.\n\nПізніше Еакід знову ненадовго зайняв трон, але в 441 р. помер у битві з Македонією. Влада перейшла до його брата Алкету II, який незабаром був вбитий молоссами за свою жорстокість, після чого в 447 р. Главкій скористався можливістю посадити на трон Пірра.\n\nМолосси й зараз підтримують скоріше Неоптолема II, ніж Пірра, нав'язаного їм чужоземним правителем..."
 dhe_dde_pyrrhus.1.a:0 "Не [SCOPE.sChar('neoptolemus').GetPraenomen] править там і зберігає мир."
 dhe_dde_pyrrhus.1.at:0 "#R Пірр буде зміщений і почне шукати допомоги в діадохів.#!"
 dhe_dde_pyrrhus.1.b:0 "Претензії Пірра правомірні."
 dhe_dde_pyrrhus.2.t:0 "Пірр, цар Епіру"
 dhe_dde_pyrrhus.2.desc_1:0 "Юний цар епірський Пірр, недавно посаджений на трон нашим царем Главкієм, був зміщений епірським плем'ям молоссів. Замість нього тепер править [SCOPE.sChar(''neoptolemus'').GetName].\n\nЗ того часу Пірр шукає підтримки діадохів, щоб ті допомогли йому повернути трон, обіцяючи натомість свою дружбу, проте доки жодної допомоги не знайшов.\n\nВраховуючи давню історію нашої дружби з Пірром і його борги перед нами, буде розумним дозволити йому послужити нашій справі."
 dhe_dde_pyrrhus.2.desc_2:0 "Юний цар Пірр Епірський, недавно посаджений на трон своїм прийомним батьком, царем Тавлантії Главкієм, був зміщений могутнім епірським плем'ям молоссів, і замість нього тепер править [SCOPE.sChar(''neoptolemus'').GetName].\n\nПірр вимушений втікати зі своєї країни вже вдруге, і тепер він просить нашої підтримки. Він присягнувся служити нашій справі і поклавши на це все свої вміння, якими, як то кажуть, Пірр не поступається найбільшим царям Епіра і Македонії. Він буде з нами, поки не повернеться до Епіру, але і після цього залишиться нам вдячним другом."
 dhe_dde_pyrrhus.2.desc_3:0 "Юний цар Пірр Епірський, недавно посаджений на трон своїм приймальним батьком, царем Тавлантії Главкієм, був зміщений могутнім епірським плем'ям молоссів, і замість нього тепер править [SCOPE.sChar(''neoptolemus'').GetName].\n\nПірр вимушений втікати зі своєї країни вже вдруге, і тепер він шукає підтримки могутнього союзника, щоб повернути собі трон Епіра. Він з'явився до нас, благаючи про допомогу, оскільки пов'язаний з династією Антигонідів через дружину.\n\nПірр присягнувся служити нашій справі, обернувши на загальне благо всі свої вміння, якими, як то кажуть, він не поступається великим царям Епіру і Македонії. Він буде з нами, поки не повернеться до Епіру, але і після цього залишиться нам вдячним другом."
 dhe_dde_pyrrhus.2.desc_4:0 "Юний цар Пірр Епірський, недавно посаджений на трон своїм приймальним батьком, царем Тавлантії Главкієм, був зміщений могутнім епірським плем'ям молоссів, і замість нього тепер править [SCOPE.sChar(''neoptolemus'').GetName].\n\nПірр вимушений втікати зі своєї країни вже вдруге, і тепер він шукає підтримки могутнього союзника, щоб повернути собі трон Епіру.\n\nПірр присягнувся служити нашій справі, обернувши на загальне благо всі свої вміння, якими, як то кажуть, він не поступається великим царям Епіру і Македонії. Він буде з нами, поки не повернеться до Епіру, але і після цього залишиться нам вдячним другом."
