l_russian:
 dhe_pharos_tooltip:0 "Начинается строительство маяка."
 dhe_pharos_lighthouse.2.t:0 "Трудности из-за засухи"
 dhe_pharos_lighthouse.2.desc:0 "Александрию постигла ужасная засуха, и продолжать работу над Фаросским маяком стало крайне сложно. Если не потратить много средств на доставку из других земель продовольствия и рабочих, строительство непременно замедлится. [SCOPE.sCharacter('random_advisor').GetName] говорит, что в первую очередь нужно подумать о тех, кто строит маяк, чтобы сэкономить нам ресурсы."
 dhe_pharos_lighthouse.2.a:0 "Мы поможем всей Александрии."
 dhe_pharos_lighthouse.2.a.tt:0 "Работы над Фаросским маяком продолжаются согласно плану."
 dhe_pharos_lighthouse.2.b:0 "Пока что давайте в первую очередь помогать рабочим."
 dhe_pharos_lighthouse.2.c:0 "Мы не сможем помочь ни всей Александрии, ни рабочим."
 dhe_pharos_lighthouse.2.c.tt:0 "Работы над Фаросским маяком замедлились из-за голода."
 dhe_pharos_lighthouse.3.t:0 "Осложнения с материалами"
 dhe_pharos_lighthouse.3.desc:0 "Маяк частично обрушился с жутким грохотом прямо во время строительства, что вызвало панику среди рабочих. Похоже, некоторые из полученных нами стройматериалов непригодны: строить из них попросту опасно.\n\nНаши бригадиры просят выделить средства на покупку других стройматериалов, а [SCOPE.sCharacter('random_advisor').GetName] напоминает, что у нас есть материалы в ближайших городах и можно использовать их."
 dhe_pharos_lighthouse.3.a:0 "Мы купим стройматериалы на замену."
 dhe_pharos_lighthouse.3.b:0 "В других наших городах есть стройматериалы, можно использовать их."
 dhe_pharos_lighthouse.3.c:0 "Мы просто сделаем маяк чуточку ниже."
 dhe_pharos_lighthouse.3.c.tt:0 "Работы над Фаросским маяком замедлились из-за низкого качества стройматериалов."
 dhe_pharos_lighthouse.4.t:0 "Пропажа рабочих"
 dhe_pharos_lighthouse.4.desc:0 "В ходе работы над Фаросским маяком рабочих становится все меньше. Кто-то уволился, кто-то умер, а кто-то попросту исчез. Если нам будет не хватать рабочих, строительство затянется, и маяк может выйти совсем не таким, как мы хотели."
 dhe_pharos_lighthouse.4.a:0 "Мы найдем новых рабочих."
 dhe_pharos_lighthouse.4.b:0 "Мы отправим на замену рабочим наших солдат."
