l_russian:
 HERITAGE_FULL_TOOLTIP:0 "#T $NAME$#!\n$EFFECT$\n\n#TF $DESC$#!"
 OPINION_SAME_HERITAGE:0 "Мнение $NAME|Y$их держав: $VAL|+=0$"
 OPINION_DIFF_HERITAGE:0 "Мнение не$NAME|Y$их держав: $VAL|+=0$"
 roman_heritage:0 "Римское наследие"
 roman_heritage_desc:0 "Рим, возникший на пересечении греческой и этрусской культур, быстро стал доминирующей силой в центральной Италии и сплотил вокруг себя союзников, готовых выполнять все его приказания. Неизменная способность Рима мобилизовывать население и заручаться верностью городов-государств, находящихся под его защитой, превратила город в мощную державу с имперским наследием."
 spartan_heritage:0 "Спартанское наследие"
 spartan_heritage_desc:0 "Спарта, некогда — одна из основных сил эллинского мира — по-прежнему хранит древнее воинское наследие, оспорить которое могут немногие."
 carthaginian_heritage:0 "Карфагенское наследие"
 carthaginian_heritage_desc:0 "Карфаген, «Новый Город» финикийских колонистов, сейчас является безусловным лидером пунического (западнофиникийского) мира. Это сильная морская держава, которую ведут к величию торговцы и харизматичные полководцы."
 antigonid_heritage:0 "Наследие Антигона"
 antigonid_heritage_desc:0 "Немногие полководцы могут похвастаться таким множеством невероятных побед, как Антигон Одноглазый и его сын Деметрий Полиоркет. Их наследие — это умение вести осады и защита свободных греческих городов Средиземноморья."
 cassanders_heritage:0 "Наследие Кассандра"
 cassanders_heritage_desc:0 "При династии Аргеадов Македония стала главной военной силой в Великой Греции, объединив под своим правлением всю материковую Грецию. Даже после смерти Александра и прихода к власти династии Антипатридов Македония сохраняет своё неоспоримое лидерство среди греческих государств, а македонская знать по-прежнему составляет костяк мощной военной машины."
 ptolemys_heritage:0 "Наследие птолемеевского Египта"
 ptolemys_heritage_desc:0 "После смерти Александра Птолемей Сотер позаботился о том, чтобы получить самые богатые и процветающие земли, которые встречал, участвуя в кампаниях своего великого господина. Египет — основной поставщик зерна в Средиземноморье — всё ещё хранит тысячелетние традиции. Объединив богатства и традиции этой страны и эллинистического мира, Птолемей решил построить государство, которое бы покровительствовало религии и культуре."
 seleucus_heritage:0 "Наследие Селевка"
 seleucus_heritage_desc:0 "Не имея прямой связи со своей греческой родиной, династия Селевкидов была вынуждена активно поощрять развитие эллинистической культуры, поскольку та расширяет возможности правящих элит и в равной степени соответствует интересам как урожденных греков и иных переселенцев, так и многих халдеев и персов. В этих обстоятельствах эллинской культуре приходилось адаптироваться и мимикрировать. Именно в результате подобного синтеза и сложилась эллинистическая культура."
 maurya_heritage:0 "Наследие Чандрагупты"
 maurya_heritage_desc:0 "Хотя на политической сцене Северной Индии империя Маурьев появилась недавно, она хранит древнее дхармическое наследие, возникшее не только раньше самих Маурьев, но и империй Нанды и Аргеадов, место которых они заняли. Государство, построенное Чандрагуптой, невероятно прочно и при этом обеспечивает сосуществование народов с самыми разнообразными культурными традициями и вероисповеданием."
 judea_heritage:0 "Иудейское наследие"
 judea_heritage_desc:0 "Имея наследие, зародившееся ещё во времена Иудейского царства, это национальное государство народа, пережившего власть множества царей и завоевателей. Этими землями пытались властвовать и эллины, и персы, но по сей день иудеи сохраняют свой религиозный пыл и стремление к независимости."
 tartessian_heritage:0 "Наследие Тартесса"
 tartessian_heritage_desc:0 "Много веков назад Тартесс был одним из важнейших торговых и политических центров Иберии. Его наследие живёт до сих пор, хотя племена, доминирующие в этом регионе, имеют мало отношения к прежним тартессианцам."
 byblos_heritage:0 "Наследие Библа"
 byblos_heritage_desc:0 "Библ — один из старейших городов известного мира. Он стал колыбелью финикийских приморских царств раньше, чем во многих других землях вообще появились люди. Колонисты Библа основали многие великие пунические города в западном Средиземноморье."
 armenian_heritage:0 "Армянское наследие"
