l_russian:
 archimedes_principle:0 "Закон Архимеда"
 archimedes_principle_desc:0 "Знаменитый закон вытеснения вывел греческий полимат Архимед, утверждавший, что на погружённый в воду объект действует выталкивающая сила, направленная вертикально вверх и равная весу вытесненной воды."
 astrolabe_invention:0 "Астролябия"
 astrolabe_invention_desc:0 "Астролябия — замысловатый инструмент для измерения высоты небесных тел относительно горизонта. С годами её конструкция усложнялась и применялась в навигации, астрономии и даже при планировании значимых событий и обрядов."
 polished_ceramics_invention:0 "Чернолощёная керамика"
 polished_ceramics_invention_desc:0 "Чернолощёная керамика — характерная керамика новых культур Индийского субконтинента, обозначившая значительный скачок в развитии производства керамических украшений. Изделия из чернолощёной керамики говорили о высоком положении владельца."
 imperial_calendar_invention:0 "Имперский календарь"
 imperial_calendar_invention_desc:0 "Новая форма исчисления времени появилась благодаря империи Селевкидов. Вместо того чтобы начинать новый календарь с приходом нового правителя, там ввели простую, но функциональную систему универсального времени. Новый метод быстро снискал популярность и широко применялся в административных целях и в учётных записях."
 acta_diurna_invention:0 "Acta Diurna"
 acta_diurna_invention_desc:0 "Acta Diurna — фактически прототип ежедневной газеты. Эти таблицы с официальными версиями важных государственных событий часто выставлялись в местах общего пользования."
 book_binding_invention:0 "Переплётное дело"
 book_binding_invention_desc:0 "Самыми распространёнными способами хранения информации были восковые таблички, свитки и каменные плиты. Римляне придумали способ объединять несколько манускриптов в один том, что позволило хранить информацию в больших объёмах и значительно дольше."
 channeled_irrigation_invention:0 "Сложные ирригационные системы"
 channeled_irrigation_invention_desc:0 "Системы орошения в царстве Анурадхапура были невероятно запутанными. При их постройке углы наклона рассчитывались с такой точностью, что система полива эффективно покрывала огромные территории. Считается, что некоторые ирригационные сети простирались на десятки километров."
 brahmi_script_invention:0 "Письмо брахми"
 brahmi_script_invention_desc:0 "Древняя система письма зародилась на юге и повсеместно применялась на Индийском субконтиненте. Брахми стала языком, объединившим народы Индии; она присутствует и на каменных скрижалях Ашоки, и в бесчисленных религиозных письменах."
 soap_invention:0 "Жировое мыло"
 soap_invention_desc:0 "Смесь золы и жира, которую применяли кельты для омовений, пришлась по нраву римлянам: они переняли эту технологию, хотя и считали её весьма экзотичной."
 corvus_invention:0 "Абордажный ворон"
