l_russian:
 terrain_MAPMODE:0 "Ландшафт"
 terrain_MAPMODE_DESC:0 "#T Карта ландшафта#!\nКрасивая карта с минимумом политической информации."
 simple_terrain_MAPMODE:0 "Простой ландшафт"
 simple_terrain_MAPMODE_DESC:0 "#T Простой ландшафт#!\nТерритории окрасятся в соответствии с #Y типом ландшафта#!."
 political_MAPMODE:0 "Политика"
 political_MAPMODE_DESC:0 "#T Политическая карта#!\nКаждая #Y держава#! имеет свой уникальный цвет."
 culture_MAPMODE:0 "Культуры"
 culture_MAPMODE_DESC:0 "#T Карта культур#!\nТерритории окрасятся в соответствии с доминирующей #Y культурой #!."
 religion_MAPMODE:0 "Религии"
 religion_MAPMODE_DESC:0 "#T Карта религий#!\nТерритории окрасятся в соответствии с доминирующей #Y религией #!."
 area_MAPMODE:0 "Провинции"
 area_MAPMODE_DESC:0 "#T Карта провинций#!\nКаждая #Y провинция#! на карте окрасится в свой уникальный оттенок, чтобы вы могли видеть, какие территории относятся к одной провинции."
 tradegoods_MAPMODE:0 "Товары"
 tradegoods_MAPMODE_DESC:0 "#T Карта товаров#!\nТерритории окрасятся в уникальные цвета в соответствии с производимыми #Y товарами#!."
 diplomacy_MAPMODE:0 "Дипломатия"
 diplomacy_MAPMODE_DESC:0 "#T Карта дипломатии#!\nВ этом режиме выбранная держава отображается #G зелёным#! цветом, а все страны, с которыми у неё есть дипломатические отношения, получают цвета в соответствии с типом этих отношений."
 opinion_MAPMODE:0 "Мнение"
 opinion_MAPMODE_DESC:0 "#T Карта мнений#!\nНа этой карте показаны #Y мнения#! всех стран о выбранной стране. Выбранная страна обозначена синим цветом, а мнения о ней — диапазоном цветов от #R красного#! до #G зелёного#! (чем зеленее, тем лучше мнение)."
 unrest_loyalty_MAPMODE:0 "Волнения и верность"
 unrest_loyalty_MAPMODE_DESC:0 "#T Карта волнений и верности#!\nПокажет уровни волнений на разных территориях. Территории, на которых нет волнений, окрасятся в #G зелёный#!, а неспокойные регионы будут отмечены разными оттенками #R красного#! в зависимости от уровня волнений."
 population_MAPMODE:0 "Население"
 population_MAPMODE_DESC:0 "#T Карта населения#!\nТерритории окрасятся в соответствии с относительной численностью #Y населения#!. Чем ярче зелёный цвет, тем больше население территории."
 MAPACTION_FIND_PROVINCE:0 "#T Найти место#!\n#I Щёлкните, чтобы открыть меню для поиска державы, провинции или территории!#!"
 MAPACTION_GO_TO_CAPITAL:0 "#T Перейти к столице#!\n#I Щёлкните, чтобы переместить камеру и перейти к вашей столице.#!"
 barbarian_power_MAPMODE:0 "Военная мощь варваров"
 barbarian_power_MAPMODE_DESC:0 "#T Карта военной мощи варваров#!\nВ этом режиме подсвечиваются места, где появляются #Y варвары#!, а также показываются численность и прирост варварских племён."
 trade_routes_MAPMODE:0 "Торговые пути"
 trade_routes_MAPMODE_DESC:0 "#T Карта торговых путей#!\nВ этом режиме #Y провинции#! без неиспользуемых путей импорта отображаются белым цветом, а #Y провинции#! с неиспользуемыми путями импорта — различными оттенками #G зелёного#!. Чем темнее цвет, тем больше неиспользуемых торговых путей находится в провинции."
 players_MAPMODE:0 "Игроки"
 players_MAPMODE_DESC:0 "#T Карта игроков#!\nВсе #Y державы#!, которые на данный момент находятся под управлением игроков, имеют свой уникальный цвет, а те, что управляются ИИ, выделены серым."
 fortifications_MAPMODE:0 "Укрепления"
 fortifications_MAPMODE_DESC:0 "#T Карта укреплений#!\nВ этом режиме дружественные крепости отображаются #V синим#! цветом, нейтральные — #T жёлтым#!, а вражеские — #R красным#!. #Y Зоны контроля#! дружественных и вражеских крепостей обозначаются синими и красными полосами соответственно."
 region_MAPMODE:0 "Регионы"
 region_MAPMODE_DESC:0 "#T Карта регионов#!\nРазные #Y регионы#! обозначены разным оттенком."
 supply_MAPMODE:0 "Снабжение"
 supply_MAPMODE_DESC:0 "#T Карта снабжения#!\nЦвета на карте соответствуют #Y лимиту снабжения#! территорий. Выберите армию, чтобы узнать, какие территории смогут её поддерживать."
 civilization_MAPMODE:0 "Цивилизованность"
 civilization_MAPMODE_DESC:0 "#T Карта цивилизованности#!\nЦвета на карте соответствуют #Y цивилизованности#! территорий."
 MAPMODE_TERRAIN:0 "$terrain_MAPMODE_DESC$"
 MAPMODE_POLITICAL:0 "$political_MAPMODE_DESC$"
 MAPMODE_PLAYERS:0 "$players_MAPMODE_DESC$"
 MAPMODES_HEADER:0 "Режимы карты"
 DRAG_DROP_TOOLTIP:0 "Нажмите, чтобы открыть режимы карты\nВы можете размещать режимы на верхней панели мини-карты, перетаскивая их"
 CONFIGURE_MAP_MODES:0 "Настроить набор режимов карты\n(Перетаскиванием)"
