l_russian:
 PROV1:0 "Рим"
 PROV2:0 "Тибур"
 PROV3:0 "Лавиний"
 PROV4:0 "Цирцеи"
 PROV5:0 "Фунди"
 PROV6:0 "Капуя"
 PROV7:0 "Неаполь"
 PROV8:0 "Сатикула"
 PROV9:0 "Помпеи"
 PROV10:0 "Салерн"
 PROV11:0 "Пестум"
 PROV12:0 "Велия"
 PROV13:0 "Бланда"
 PROV14:0 "Пирги"
 PROV15:0 "Остия"
 PROV16:0 "Вейи"
 PROV17:0 "Тарквиния"
 PROV18:0 "Непета"
 PROV19:0 "Карсеолы"
 PROV20:0 "Курис"
 PROV21:0 "Визентий"
 PROV22:0 "Вульчи"
 PROV23:0 "Нарния"
 PROV24:0 "Пелтуин"
 PROV25:0 "Норба"
 PROV26:0 "Фрегеллы"
 PROV27:0 "Фуценс"
 PROV28:0 "Корфиний"
 PROV29:0 "Гистоний"
 PROV30:0 "Ауфидена"
 PROV31:0 "Венафр"
 PROV32:0 "Бовиан"
 PROV33:0 "Корнелианы"
 PROV34:0 "Иуванум"
 PROV35:0 "Бука"
 PROV36:0 "Теан Апулийский"
 PROV37:0 "Лукерия"
 PROV38:0 "Сипонт"
 PROV39:0 "Канузий"
 PROV40:0 "Нола"
 PROV41:0 "Беневент"
 PROV42:0 "Венузия"
 PROV43:0 "Компса"
 PROV44:0 "Тутик"
 PROV45:0 "Аускул"
 PROV46:0 "Потенция"
 PROV47:0 "Акеррония"
 PROV48:0 "Тервент"
 PROV49:0 "Герум"
 PROV50:0 "Урий"
 PROV51:0 "Лаос"
 PROV52:0 "Фурии"
 PROV53:0 "Грумент"
 PROV54:0 "Гераклея"
 PROV55:0 "Метапонт"
 PROV56:0 "Тарент"
 PROV57:0 "Брундизий"
 PROV58:0 "Бардулы"
 PROV59:0 "Консилин"
 PROV60:0 "Банция"
 PROV61:0 "Сирис"
 PROV62:0 "Ментурия"
 PROV63:0 "Каллиполь"
 PROV64:0 "Гидрунт"
 PROV65:0 "Лупии"
 PROV66:0 "Барий"
 PROV67:0 "Эгнация"
 PROV68:0 "Тур"
 PROV69:0 "Нациол"
 PROV70:0 "Сильвий"
 PROV71:0 "Стиглиан"
 PROV72:0 "Регий"
 PROV73:0 "Локры"
 PROV74:0 "Стилаций"
 PROV75:0 "Иппоний"
 PROV76:0 "Темпса"
 PROV77:0 "Консенция"
 PROV78:0 "Кротон"
 PROV79:0 "Петелия"
 PROV80:0 "Мессана"
 PROV81:0 "Тавромений"
 PROV82:0 "Катана"
 PROV83:0 "Леонтины"
 PROV84:0 "Сиракузы"
 PROV85:0 "Гела"
 PROV86:0 "Акрагант"
 PROV87:0 "Акры"
 PROV88:0 "Мурганция"
 PROV89:0 "Генна"
 PROV90:0 "Гиппана"
 PROV91:0 "Гераклея Минойская"
 PROV92:0 "Эгеста"
 PROV93:0 "Селинунт"
 PROV94:0 "Лилибей"
 PROV95:0 "Эрикс"
 PROV96:0 "Панорм"
 PROV97:0 "Гимера"
 PROV98:0 "Кефаледий"
 PROV99:0 "Тиндарида"
 PROV100:0 "Калакта"
 PROV101:0 "Камарина"
 PROV102:0 "Тудер"
 PROV103:0 "Плестия"
 PROV104:0 "Амитерн"
 PROV105:0 "Требула"
 PROV106:0 "Атерн"
 PROV107:0 "Интерамна"
 PROV108:0 "Матрин"
 PROV109:0 "Аскул"
 PROV110:0 "Септемпеда"
 PROV111:0 "Пицен"
 PROV112:0 "Теламон"
 PROV113:0 "Авриния"
 PROV114:0 "Ветулония"
 PROV115:0 "Руселлы"
 PROV116:0 "Клузий"
 PROV117:0 "Анкона"
 PROV118:0 "Кингул"
 PROV119:0 "Сентин"
 PROV120:0 "Перузия"
 PROV121:0 "Сена Галлика"
 PROV122:0 "Урбин"
 PROV123:0 "Игувий"
 PROV124:0 "Кортона"
 PROV125:0 "Ад Новас"
 PROV126:0 "Популония"
 PROV127:0 "Ильва"
 PROV128:0 "Вада Волатеррана"
 PROV129:0 "Волатерры"
 PROV130:0 "Сена Юлия"
 PROV131:0 "Арреций"
 PROV132:0 "Сарсина"
 PROV133:0 "Аримин"
 PROV134:0 "Флоренция"
 PROV135:0 "Вальвата"
 PROV136:0 "Пиза"
 PROV137:0 "Луна"
 PROV138:0 "Лука"
 PROV139:0 "Пистории"
 PROV140:0 "Фезулы"
 PROV141:0 "Гавань Венеры"
 PROV142:0 "Равенна"
 PROV143:0 "Брундул"
 PROV144:0 "Спина"
 PROV145:0 "Адрианы"
 PROV146:0 "Бонония"
 PROV147:0 "Фавенция"
 PROV148:0 "Попилии"
 PROV149:0 "Мутина"
 PROV150:0 "Вик Авенция"
 PROV151:0 "Регий Лепид"
 PROV152:0 "Парма"
 PROV153:0 "Форум Новум"
 PROV154:0 "Рубра"
 PROV155:0 "Кискис"
 PROV156:0 "Мира"
 PROV157:0 "Варсапа"
 PROV158:0 "Абласта"
 PROV159:0 "Хома"
 PROV160:0 "Ариканда"
 PROV161:0 "Лимира"
 PROV162:0 "Олимп"
 PROV163:0 "Осдара"
 PROV164:0 "Фаселида"
 PROV165:0 "Ольбия Памфилийская"
 PROV166:0 "Перге"
 PROV167:0 "Педнелисс"
 PROV168:0 "Аспенд"
 PROV169:0 "Ларанда"
 PROV170:0 "Термесс"
 PROV171:0 "Исинда"
 PROV172:0 "Комана"
 PROV173:0 "Коропасс"
 PROV174:0 "Конгуст"
 PROV175:0 "Пломма"
 PROV176:0 "Экдавмава"
 PROV177:0 "Пифосы"
 PROV178:0 "Тирией"
 PROV179:0 "Филомелий"
 PROV180:0 "Кейссия"
 PROV181:0 "Кланий"
 PROV182:0 "Аврокра"
 PROV183:0 "Аморий"
 PROV184:0 "Докимия"
 PROV185:0 "Ипс"
 PROV186:0 "Эфкарпия"
 PROV187:0 "Кидиесс"
 PROV188:0 "Пессинунт"
 PROV189:0 "Гордий"
 PROV190:0 "Кинна"
 PROV191:0 "Ветисс"
 PROV192:0 "Толастохора"
 PROV193:0 "Горбеунт"
 PROV194:0 "Анкира"
 PROV195:0 "Болекасг"
 PROV196:0 "Клоссама"
 PROV197:0 "Сармалий"
 PROV198:0 "Гангра"
 PROV199:0 "Кандара"
 PROV200:0 "Кимиата"
 PROV201:0 "Кланей"
 PROV202:0 "Кисс"
