l_russian:
 dahaea_area:0 "Земля дахов"
 scythia_ad_pontem_area:0 "Скифия Понтийская"
 scythia_ultima_area:0 "Дальняя Скифия"
 scythia_prima_area:0 "Великая Скифия"
 sarmatia_hyrcania_area:0 "Сарматия Гиркания"
 south_peleponnesos_area:0 "Лакония"
 boeotia_area:0 "Беотия"
 central_greece_area:0 "Эллада"
 upper_macedonia_area:0 "Пелагония"
 upper_mesopotamia_area:0 "Верхняя Месопотамия"
 commagene_area:0 "Коммагена"
 upper_armenia_area:0 "Верхняя Армения"
 pars_area:0 "Мардиен"
 roma_area:0 "Лаций"
 south_etruria_area:0 "Этрурия"
 north_etruria_area:0 "Тусция"
 aternum_area:0 "Атерн"
 asculum_area:0 "Пицен"
 pisae_area:0 "Пиза"
 ariminum_area:0 "Аримин"
 neapolis_area:0 "Кампания"
 cannae_area:0 "Апулия"
 liguria_area:0 "Лигурия"
 heraclea_area:0 "Лукания"
 tarentum_area:0 "Тарент"
 croton_area:0 "Калабрия"
 aemilla_area:0 "Эмилия"
 transpadana_area:0 "Транспаданская Галлия"
 west_insubria_area:0 "Инсубрия"
 ferraria_area:0 "Феррария"
 venetia_area:0 "Венетия"
 east_insubria_area:0 "Ценомания"
 east_sicily_area:0 "Сикулия"
 syracuse_area:0 "Сиракузы"
 west_sicily_area:0 "Сикания"
 corsica_area:0 "Корсика"
 sardinia_septentrionalis:0 "Сардиния Северная"
 sardinia_meridionalis:0 "Сардиния Южная"
 alpes_maritimae_area:0 "Приморские Альпы"
 alpes_maritimae_two_area:0 "Коттийские Альпы"
 alpes_graiae_area:0 "Пеннинские и Грайские Альпы"
 alpes_raetiae_occidentalis_area:0 "Ретийские Альпы"
 alpes_raetiae_orientalis_area:0 "Карнийские Альпы"
 tigurinia_area:0 "Вербигения"
 armenia_minor_area:0 "Малая Армения"
 armenia_maior_area:0 "Великая Армения"
 tarawn_area:0 "Тарон"
 vaspurakan_area:0 "Васпуракан"
 syunik_area:0 "Сюник"
 artshak_area:0 "Арцах"
 paytankert_area:0 "Пайтакаран"
 arran_area:0 "Арран"
 caucasian_albania_area:0 "Кавказская Албания"
 kahetia_area:0 "Кахетия"
 caucasian_iberia_area:0 "Кавказская Иберия"
 gugark_area:0 "Гугарк"
 tayk_area:0 "Тайк"
 colchis_area:0 "Колхида"
 machelonia_area:0 "Махелония"
 bekhyria_area:0 "Бехирия"
 ayrarat_area:0 "Айрарат"
 syracene_area:0 "Сиракена"
 soducene_area:0 "Содукена"
 parskahayk_area:0 "Парскаайк"
 suaneti_area:0 "Сванетия"
 abasgoi_area:0 "Абазгия"
 parsatunik_area:0 "Парспатуник"
 media_atropatene_area:0 "Мидия Атропатена"
 kadousioi_area:0 "Кадусии"
 media_area:0 "Медия"
 corduene_area:0 "Кордуена"
 syria_cyrrestice_area:0 "Сирия Киррестика"
 syria_area:0 "Сирия"
 sophene_area:0 "Софена"
 niniveh_area:0 "Ниневея"
 garamig_area:0 "Гарамея"
 adiabene_area:0 "Адиабена"
 osroene_area:0 "Осроена"
 south_phoenicia_area:0 "Южная Финикия"
 north_phoenicia_area:0 "Северная Финикия"
 syria_coele_area:0 "Келесирия"
 apamene_area:0 "Апамена"
 palmyra_area:0 "Пальмира"
 decapolis_area:0 "Декаполь"
 samaria_area:0 "Самария"
 galilee_area:0 "Галилея"
 judea_area:0 "Иудея"
 peraea_area:0 "Перея"
 tigris_area:0 "Аполлониатида"
 euphrates_area:0 "Арамеи"
 asoristan_area:0 "Ситтакена"
 babylonia_area:0 "Вавилония"
 veh_kavad_area:0 "Шумер"
 beth_daraye_area:0 "Халдея"
 meshan_area:0 "Харакена"
 susiana_area:0 "Сузиана"
 western_delta_area:0 "Западная Дельта Нила"
 eastern_delta_area:0 "Восточная Дельта Нила"
 central_delta_area:0 "Средняя Дельта Нила"
 memphis_area:0 "Мемфис"
 heptanomis_area:0 "Гептаномий"
 sinai_area:0 "Синай"
 philistia_area:0 "Филистия"
 arabia_petrea_area:0 "Аравия Петрейская"
 cyprus_area:0 "Кипр"
 cappadocia_area:0 "Каппадокия"
 cappadocia_saravene_area:0 "Саравена"
 cappadocia_garsauritis_area:0 "Гарсавритида"
 cappadocia_cataonia_area:0 "Катаония"
 cappadocia_melitene_area:0 "Мелитина"
 pontus_area:0 "Понт"
 pontus_colopene_area:0 "Колопена"
 lydia_area:0 "Лидия"
 ionia_area:0 "Иония"
 aeolia_area:0 "Эолия"
 mysia_area:0 "Мисия"
 paphlagonia_superior_area:0 "Верхняя Пафлагония"
 bithynia_inferior_area:0 "Нижняя Вифиния"
 heracleotis_area:0 "Гераклея на Понте"
 paphlagonia_inferior_area:0 "Нижняя Пафлагония"
 bithynia_superior_area:0 "Верхняя Вифиния"
 phrygia_area:0 "Фригия Пакатиана"
 phrygia_epiktetos:0 "Фригия Эпиктет"
 mysia_abrettene_area:0 "Мисия Абреттена"
 galatia_area:0 "Галатия"
 galatia_trocmi_area:0 "Трокмийская Галатия"
 lycaonia_area:0 "Ликаония"
 isauria_area:0 "Исаврия"
 pisidia_area:0 "Писидия"
 coastal_caria_area:0 "Кария Литоралис"
 inland_caria_area:0 "Внутренняя Кария"
 milyas_area:0 "Милия"
 pamphylia_area:0 "Памфилия"
 lycia_area:0 "Ликия"
 cilicia_trachea_area:0 "Киликия Трахея"
 cilicia_pedias_area:0 "Киликия Педиада"
 phrygia_parorea_area:0 "Фригия Парория"
 crete_area:0 "Крит"
 aegean_islands_area:0 "Эгейские острова"
 achaea_area:0 "Ахея"
 epirus_area:0 "Эпир"
 aetolia_area:0 "Этолия"
 thessaly_area:0 "Фессалия"
 macedonia_area:0 "Эматия"
 chalkidiki_area:0 "Халкида"
 europa_area:0 "Европа"
 rhodope_area:0 "Родопы"
 illyria_graeca_area:0 "Греческая Иллирия"
 haemimontus_area:0 "Гемимонт"
 thracia_area:0 "Фракия"
 scythia_area:0 "Скифия"
 moesia_orientalis_area:0 "Кробизоя"
 moesia_occidentalis_area:0 "Трибаллия"
 macedonia_salutaris_area:0 "Пеония"
 dardania_inferioris_area:0 "Дардания"
 dardania_superioris_area:0 "Диндария"
 dacia_mediterranea_area:0 "Мезия"
 dacia_superioris_area:0 "Сальденсия"
 dacia_inferioris_area:0 "Пицения"
 malvensis_area:0 "Мальвская Дакия"
 apulensis_area:0 "Апулейская Дакия"
 porolissensis_area:0 "Поролиссенсийская Дакия"
 porolissensis_inferioris_area:0 "Потулатенсия"
 moesia_prima_orientalis_area:0 "Трикорнензия"
 moesia_prima_occidentalis_area:0 "Скордиския"
 pannonia_secunda_area:0 "Паннония II"
 savia_occidentalis_area:0 "Катария"
 savia_orientalis_area:0 "Деурия"
 noricum_mediterranum_area:0 "Латобикия"
 histria_area:0 "Истрия"
 pannonia_prima_occidentalis_area:0 "Варциания"
 pannonia_prima_orientalis_area:0 "Паннония Прима"
 pannonia_valeria_area:0 "Валерия"
 dalmatia_occidentalis_area:0 "Либерния"
 dalmatia_centralis_area:0 "Далмация"
 dalmatia_orientalis_area:0 "Даорсия"
 olbia_area:0 "Ольбия"
 maeotia_area:0 "Боспор"
 bosproranum_area:0 "Меотия"
 taurica_area:0 "Таврика"
 cimbrica_inferioris_area:0 "Англия"
 cimbrica_superioris_area:0 "Кимврика"
 scandia_insula_area:0 "Островная Скандия"
 dumnonia_area:0 "Думнония"
 durotrigia_area:0 "Дуротригия"
 cantiacia_area:0 "Кантиакия"
 icenia_area:0 "Ицения"
 dobunnia_area:0 "Добунния"
 coritania_area:0 "Коритания"
 cornovia_area:0 "Корновия"
 britannia_secunda_septentrionalis_area:0 "Ордовикия"
 britannia_secunda_meridionalis_area:0 "Деметия"
 brigantia_area:0 "Бригантия"
 caledonia_meridionalis_area:0 "Вотадиния"
 caledonia_occidentalis_area:0 "Каледония"
 caledonia_septentrionalis_area:0 "Тексалия"
 hibernia_septentrionalis_area:0 "Северная Гиберния"
 hibernia_orientalis_area:0 "Восточная Гиберния"
 hibernia_occidentalis_area:0 "Западная Гиберния"
 hibernia_meridionalis_area:0 "Южная Гиберния"
 armorica_minoris_area:0 "Осисимия"
 armorica_centralis_area:0 "Арморика"
 armorica_maioris_area:0 "Венеллия"
