l_russian:
 move_capital_title_tt:0 "#T Переместить столицу#!"
 make_into_subject_state_tt:0 "Превратить державу #Y [SCOPE.sState('target_state').GetState.GetShortName]#! в #Y клиентское государство#!"
 release_subject_title_tt:0 "#T Освободить зависимое государство#!"
 release_subject_confirm_title:0 "Освободить зависимое государство"
 release_subject_confirm_text:0 "Вы действительно хотите превратить державу #Y [SCOPE.sState('target_state').GetState.GetShortName]#! в #Y клиентское государство#!?"
 move_province_capital_title_tt:0 "#T Переместить столицу провинции#!"
 not_capital_state_tt:0 "@trigger_no!Вы не можете изменить столицу провинции в своей столичной провинции."
 empower_x_party:0 "#T Дать власть фракции ([SCOPE.GetRootScope.GetCharacter.GetPartyName])#!"
 empowered_civic_party_gui_mod:0 "Гражданская фракция получила власть"
 desc_empowered_civic_party_gui_mod:0 "Члены гражданской фракции получили руководящие должности, что упрощает им действия с законами, законопроектами и указами."
 empowered_military_party_gui_mod:0 "Военная фракция получила власть"
 desc_empowered_military_party_gui_mod:0 "Члены военной фракции получили руководящие должности, что упрощает им действия с законами, законопроектами и указами."
 empowered_mercantile_party_gui_mod:0 "Торговая фракция получила власть"
 desc_empowered_mercantile_party_gui_mod:0 "Члены торговой фракции получили руководящие должности, что упрощает им действия с законами, законопроектами и указами."
 empowered_religious_party_gui_mod:0 "Религиозная фракция получила власть"
 desc_empowered_religious_party_gui_mod:0 "Члены религиозной фракции получили руководящие должности, что упрощает им действия с законами, законопроектами и указами."
 empowered_populist_party_gui_mod:0 "Популистская фракция получила власть"
 desc_empowered_populist_party_gui_mod:0 "Члены популистской фракции получили руководящие должности, что упрощает им действия с законами, законопроектами и указами."
 line_break_str:0 "\n\n"
 price_civic_party_action_cost_modifier:0 "Стоимость получения власти гражданской фракцией"
 price_military_party_action_cost_modifier:0 "Стоимость получения власти военной фракцией"
 price_mercantile_party_action_cost_modifier:0 "Стоимость получения власти торговой фракцией"
 price_religious_party_action_cost_modifier:0 "Стоимость получения власти религиозной фракцией"
 price_populist_party_action_cost_modifier:0 "Стоимость получения власти популистской фракцией"
 already_improving_infrastructure:0 "@trigger_no! Уже делаются вложения в провинцию [SCOPE.GetRootScope.GetState.GetName]."
 state_improvement_military:0 "Прокуратор провинции"
 desc_state_improvement_military:0 "Эта провинция пользуется тем преимуществом, что о ней заботятся несколько прокураторов, действующих в интересах государства и стремящихся обеспечить мир, согласие и не прерываемый невзгодами труд."
 state_improvement_civic:0 "Государственная инфраструктура"
 desc_state_improvement_civic:0 "В этой провинции начинают появляться различные акведуки, административные здания и другие общественные сооружения."
 state_improvement_oratory:0 "Направленные вложения"
 desc_state_improvement_oratory:0 "Несколько известных магнатов согласились открыть собственное дело в этой провинции."
 state_improvement_religious:0 "Таинственный культ"
 desc_state_improvement_religious:0 "Допуская и поддерживая создание таинственных культов в провинциях, мы даём нашим подданным интересный способ познания божественного."
 investments_ongoing_1_year:0 "Производительность в провинции #Y [SCOPE.GetRootScope.GetState.GetName]#! будет #R снижена#! на #Y 2#! года, пока согласовываются вложения в инфраструктуру.\n\nЧерез #Y 2#! года:\n\n"
 invest_in_state_button_military_title_tt:0 "#T Назначить прокураторов провинции#!"
 invest_in_state_button_civic_title_tt:0 "#T Поддержать расходы на инфраструктуру#!"
 invest_in_state_button_oratory_title_tt:0 "#T Поощрить вложения в коммерцию#!"
 invest_in_state_button_religious_title_tt:0 "#T Сделать религиозные пожертвования#!"
 oaths_of_allegiance_button_title_tt:0 "#T Потребовать клятвы верности#!"
 oaths_of_allegiance_button_desc_tt:0 "#TF Династическая преемственность делает державу сильной и защищённой. [SCOPE.GetRootScope.GetCountry.GetRulerTitle] [SCOPE.GetRootScope.GetCountry.GetRuler.GetName], хотя и вызывает страх и уважение, не может править вечно. Мы должны добиться уважения и признания ради будущего рода [SCOPE.GetRootScope.GetCountry.GetRuler.GetFamilyDisplayAdjective]!#!"
 oaths_of_allegiance:0 "Клятвы верности"
 desc_oaths_of_allegiance:0 "Великие семьи нашей державы проделали долгий путь, чтобы присягнуть нашему царскому дому."
 patron_of_arts_button_modifier:0 "Культурный покровитель"
 desc_patron_of_arts_button_modifier:0 "Мы начали кампанию культурного просвещения, знакомя с нашими идеалами и философскими принципами всех, кто находится в наших границах."
 patron_of_arts_button_title_tt:0 "#T Покровительствовать искусствам#!"
