l_russian:
 tribal_flavour_event.1.t:0 "Ворожнеча"
 tribal_flavour_event.1.desc:0 "Двоє людей з нашого племені сьогодні попросили розсудити, кому повинен належати знайдений ними предмет. Це [ROOT.GetCountry.Custom('get_found_treasure')] з золота. [SCOPE.sChar('duelist_1').GetName] вважає, що це [SCOPE.sChar('duelist_1').GetHerHis] річ за правом знахідки, а [SCOPE.sChar('duelist_2').GetName] каже, що це [SCOPE.sChar('duelist_2').GetHerHis] річ, бо була знайдена на [SCOPE.sChar('duelist_2').GetHerHis] землі."
 tribal_flavour_event.1.a:0 "Власник речі — [SCOPE.sChar('duelist_1').GetName]"
 tribal_flavour_event.1.b:0 "Власник речі — [SCOPE.sChar('duelist_2').GetName]"
 tribal_flavour_event.1.c:0 "Власник речі — [ROOT.GetCountry.GetName]"
 tribal_flavour_event.1.d:0 "Річ належить богам!"
 string_necklace:0 "намисто"
 string_crown:0 "корона"
 string_statue:0 "статуя"
 string_amphora:0 "амфора"
 string_goblet:0 "келех"
