l_russian:
 tutorial.1.t:0 "Слава Рима"
 tutorial.1.desc:0 "Добро пожаловать в обучающий режим игры Imperator: Rome! Выполняя серии заданий, которые будут перечислены в левой части экрана, вы изучите базовые принципы игры.\n\nКнопка с венком и копьем в левой части экрана открывает и закрывает окно «Цели учебной кампании».\n\nЗадания можно выполнять в любом порядке, но, если это ваша первая игра от студии Paradox или если вы желаете освежить знания, рекомендуем брать задания из списка подряд, сверху вниз.\n\nНаведя курсор мыши на задание, вы увидите советы по его выполнению. Когда условия задания будут выполнены, то текст подсветится, чтобы показать, что задание можно сдать."
 tutorial.1.a:0 "Roma Invicta!"
 starting_setup_tooltip:0 "Щелкните здесь, чтобы продолжить."
 tutorial.2.t:0 "Начальная ситуация"
 tutorial.2.desc:0 "В ходе обучения вы будете играть за Рим. Текущая дата, показанная в правом верхнем углу экрана, — 1 октября 450 г. ab Urbe Condita (от основания Рима).\n\nРим недавно утвердил свою власть над соседями и готовит почву для новых завоеваний в италийском регионе.\n\nВ целях обучения мы уже предприняли за вас определенные шаги — но позже расскажем и о них."
 tutorial.2.a:0 "Продолжить"
 tutorial.3.t:0 "Ресурсы"
 tutorial.3.desc:0 "На верхней шкале показаны основные ресурсы, которые вы получаете и расходуете в ходе игры.\n\nРекомендуем ознакомиться с видами ресурсов. Наведите курсор на значок ресурса, и вы увидите, какие эффекты тот дает и для чего применяется.\n\nВ целях обучения мы значительно увеличили вашу казну и влияние."
 tutorial.3.a:0 "Вперед!"
 tutorial.4.t:0 "Стабильная держава"
 tutorial.4.desc:0 "Поздравляем! Вы добились стабильности в Риме.\n\nВ процессе игры вы столкнётесь с разными модификаторами и эффектами, которые сказываются на стабильности, стоимости её увеличения и на производимых ей эффектах.\n\nЗначение стабильности могут менять самые разные события. В награду за выполнение задания мы повысили вам стабильность."
 tutorial.4.a:0 "Отлично."
 begin_tutorial_event_tooltip:0 "Начать #Y обучение#!!"
 basics_of_resources_tooltip:0 "Узнать о #Y ресурсах#! в игре Imperator: Rome."
 tutorial.5.t:0 "Наши войска готовы"
 tutorial.5.desc:0 "Отлично! Теперь у Рима есть армия под стать великой державе.\n\nВ процессе игры время от времени будут появляться сообщения о подобных событиях. От вашей реакции на них могут возникать разные интересные эффекты или появляться иные варианты действий. Наведя курсор мыши на кнопку выбора в нижней части этого окна, вы увидите, что вашей армии достанется боевой модификатор за выполнение этого задания."
 tutorial.5.a:0 "Чудесно."
 tutorial.6.t:0 "Флот построен!"
 tutorial.6.desc:0 "Теперь у Рима есть большой флот, благодаря которому он сможет укрепиться в Средиземном море.\n\nВ награду мы дадим Риму временный модификатор, чтобы чуть-чуть облегчить следующее задание!"
 tutorial.6.a:0 "Вперед!"
 tutorial.7.t:0 "Тренировочные лагери построены"
 tutorial.7.desc:0 "Теперь в ваших городах будет больше рекрутов, которыми можно пополнить армии Рима!\n\nВ следующем задании вы узнаете о торговых путях, и потому мы добавили вам еще один такой путь — в столицу провинции Лаций."
 tutorial.7.a:0 "Отлично."
 tutorial.8.t:0 "Богатый улов"
 tutorial.8.desc:0 "Народ Рима теперь получает рыбу, которую вы привозите из-за границы.\n\nПоставка других товаров дает другие бонусы. Советуем ознакомиться с ними в окне товаров, которым вы пользовались ранее."
 tutorial.8.a:0 "Продолжить"
 tutorial.9.t:0 "Боги с нами!"
 tutorial.9.desc:0 "Боги поистине благоволят нам — Рим теперь готов к войне!\n\nСоветуем ознакомиться с другими предзнаменованиями, чтобы знать, что ещё может пригодиться в непростые времена."
 tutorial.9.a:0 "На войну!"
