l_russian:
 NUM_OF_ARMIES_SELECTED:0 "Выбрано армий: $NUM$."
 NUM_OF_NAVIES_SELECTED:0 "Выбрано флотилий: $NUM$."
 ASSAULT_ALREADY:0 "Уже идёт штурм."
 ASSAULT_TOO_WEAK:0 "В этой осаде нет пехоты, доступной для штурма."
 ASSAULT_IS_DEFENDER:0 "Обороняющаяся сторона в осаде не может отдать приказ к штурму."
 ASSAULT_NOT_IN_COMMAND:0 "Вы не полностью командуете этой осадой."
 ASSAULT_TOO_LOW_MORALE:0 "Осаждающие войска имеют слишком низкий боевой дух для штурма."
 ASSAULT_ORDER:0 "#T Приказ к штурму#!\n#TF Отдав приказ к штурму, вы потеряете людей, но получите шанс быстро завершить осаду.#!"
 DISBAND_NOT_IN_COMBAT:0 "Нельзя распустить подразделения, участвующие в бою."
 REORGANIZE_WINDOW_TITLE:0 "Реорганизовать"
 SELECT_UNIT:0 "Выбрать это подразделение"
