l_russian:
 war_council.1.t:0 "Збори військової ради"
 war_council_assembles_monarchy:0 "Коли [ROOT.GetCountry.GetCapital.GetName] занурюється в нічну імлу, біля дверей до царської вітальної зали виникають три постаті.\n\n[SCOPE.sChar('marshal').GetPraenomen], [SCOPE.sChar('marshal').Custom('get_council_1_descriptor')], [SCOPE.sChar('guard').GetPraenomen], [SCOPE.sChar('guard').Custom('get_council_2_descriptor')], і [SCOPE.sChar('third_party').GetPraenomen], [SCOPE.sChar('third_party').Custom('get_council_3_descriptor')]. Вони разом входять до палацу. Кожна з них горить бажанням по-своєму вплинути на [ROOT.GetCountry.GetAdjective]ий суд."
 war_council_assembles_monarchy_2:0 "Вся столиця [ROOT.GetCountry.GetCapital.GetName] спить, а військова рада досі триває.\n\nТри світоча [ROOT.GetCountry.GetAdjective]ої думки зібралися разом. Кожен має що сказати й кожен готовий доводити спроможність своїх аргументів. Це [SCOPE.sChar('marshal').GetPraenomen], [SCOPE.sChar('marshal').Custom('get_council_1_descriptor')], [SCOPE.sChar('guard').GetPraenomen], [SCOPE.sChar('guard').Custom('get_council_2_descriptor')], і [SCOPE.sChar('third_party').GetPraenomen], [SCOPE.sChar('third_party').Custom('get_council_3_descriptor')]."
 war_council_assembles_tribal:0 "Брутальні голоси, крики на вулиці — все це створює відповідну атмосферу для обговорення, заради якого зібралася [ROOT.GetCountry.GetAdjective]а військова рада.\n\nТакі шановні люди, як [SCOPE.sChar('marshal').GetPraenomen], [SCOPE.sChar('marshal').Custom('get_council_1_descriptor')], [SCOPE.sChar('guard').GetPraenomen], [SCOPE.sChar('guard').Custom('get_council_2_descriptor')], і [SCOPE.sChar('third_party').GetPraenomen], [SCOPE.sChar('third_party').Custom('get_council_3_descriptor')], планують подальші дії."
 war_council_assembles_tribal_2:0 "Після багатоденної подорожі високоповажна [ROOT.GetCountry.GetAdjective]а військова рада збирається знову в місті [ROOT.GetCountry.GetCapital.GetName], щоб обговорити оголошення війни новим ворогам.\n\nСхилившись над широким столом, [SCOPE.sChar('marshal').GetPraenomen], [SCOPE.sChar('marshal').Custom('get_council_1_descriptor')], [SCOPE.sChar('guard').GetPraenomen], [SCOPE.sChar('guard').Custom('get_council_2_descriptor')], і [SCOPE.sChar('third_party').GetPraenomen], [SCOPE.sChar('third_party').Custom('get_council_3_descriptor')], голосно висловлюють свої пропозиції."
 get_council_1_descriptor_1:0 "світоч військової думки"
 get_council_1_descriptor_2:0 "геній транспорту і постачання"
 get_council_1_descriptor_3:0 "майстер слова і гідний приклад для наслідування"
 get_council_1_descriptor_4:0 "відомий своїм благочестям і непохитністю чоловік, подібних якому [SCOPE.GetRootScope.GetCountry.GetName] не знає"
 get_council_1_descriptor_5:0 "улюблений усіма умілий лідер"
 get_council_1_descriptor_6:0 "автор кількох трактатів по тактиці"
 get_council_2_descriptor_1:0 "хитрий, але обережний лідер"
 get_council_2_descriptor_2:0 "розумний і проникливий радник"
 get_council_2_descriptor_3:0 "високошанований публічний оратор"
 get_council_2_descriptor_4:0 "відомий меценат і покровитель безлічі храмів"
 get_council_2_descriptor_5:0 "відомий шахрай і волоцюга"
 get_council_2_descriptor_6:0 "прагматичний і шанований радник"
 get_council_3_descriptor_1:0 "експерт з питань рукопашного бою"
 get_council_3_descriptor_2:0 "шанована серед чиновників людина"
 get_council_3_descriptor_3:0 "високоповажний філософ і поет"
 get_council_3_descriptor_4:0 "той, хто, за загальним визнанням, знає волю богів"
 get_council_3_descriptor_5:0 "радник з неясними мотивами"
 get_council_3_descriptor_6:0 "темна конячка і вигадливий оригінал"
 war_council_all_three_agree_1:0 "\n\nЧим довше тривають дебати, тим очевиднішим стає, що, попри особисті розбіжності між нашими емоційними радниками, в одному вони одностайні. [ROOT.GetCountry.GetRulerTitle] [ROOT.GetCountry.GetRuler.GetPraenomen] спостерігає за тим, як всі три наші довірені особи звертають свій погляд на [ROOT.GetCountry.GetRuler.GetHerHis], переконані в тому, що [SCOPE.sC('target_country_1').GetName] впаде перед міццю держави [ROOT.GetCountry.GetName]."
 war_council_all_three_agree_2:0 "\n\nДебати швидко переростають у неконтрольовану суперечку: кожна зі сторін намагається висловити все, що думає, однак [ROOT.GetCountry.GetRulerTitle] спокійним голосом перериває сперечальників всього однією фразою:\n\n«Держава [SCOPE.sC('target_country_1').GetName] повинна бути знищена».\n\nВсі три радники, як один, повертаються на свої місця, не розуміючи, як вони могли не додуматися до такого очевидного рішення, а потім клянуться у вірності державі [ROOT.GetCountry.GetName], захоплюючись військовим генієм свого повелителя."
